generations,fitness
50,-23.24798106900806
50,-14.010359349139296
50,-16.55127342814552
50,-15.85630244407389
50,-18.192569576259448
50,-24.766513066043277
50,-18.38671527175711
50,-13.696095690238982
50,-17.950885624610113
50,-14.341687686934158
50,-20.54950974279421
50,-33.18082865593051
50,-18.01044806142293
50,-21.760297910850376
50,-15.836360658027214
50,-20.430364783097804
50,-17.91381868516592
50,-19.472595317363147
50,-16.75128298590417
50,-18.888903202147457
50,-17.084672173390747
50,-15.453078651611346
50,-28.698874828656344
50,-18.52689776544063
75,-21.9434743881963
75,-24.45044159586554
75,-14.467983693828291
75,-21.474956488558128
75,-24.75892508463947
75,-25.89361047803231
75,-20.39089640118361
75,-21.818957837490284
75,-29.23447913359835
75,-16.731976282739602
75,-17.86394150812109
75,-25.02566924899502
75,-20.38912552960031
75,-22.77647442123646
75,-21.143555310676742
75,-19.02745770678676
75,-14.400589214061698
75,-25.89700610117613
75,-19.376668583085678
75,-13.859737986778343
75,-17.889041659349328
75,-16.465407564761847
75,-24.158335415495895
75,-20.918945512379004
75,-21.0725410486113
75,-13.325824738090184
75,-16.79278576972284
75,-19.446406092520416
75,-23.182299737072913
75,-14.91595422538255
75,-19.691077187438957
75,-18.66798277340749
75,-22.66099896211157
75,-21.324248731746923
75,-18.286508331697654
75,-17.01303217209056
75,-21.5320556111997
75,-13.753658652313204
75,-27.488104273539903
75,-17.48625483838456
75,-22.964746112593552
75,-19.491606017578324
75,-17.70471699091425
75,-25.594678088583738
75,-32.65941512279732
75,-27.755358757088878
75,-26.190468610287983
75,-18.095139228362093
75,-16.73057049661699
75,-23.029413924225537
100,-17.30787509307552
100,-13.876098482064762
100,-29.780230855035246
100,-17.718491996195958
100,-23.89299492585564
100,-24.322997506983192
100,-21.698068896782708
100,-17.98864875928758
100,-23.63861828023762
100,-24.371280951887144
100,-27.715637393258234
100,-19.132787496973158
100,-27.827336642611655
100,-25.019136941967005
100,-21.241682441350747
100,-20.264715029305883
100,-19.630607346219158
100,-15.985193008171384
100,-16.265349374527506
100,-19.23708685193658
100,-18.729735004517305
100,-21.655253889684726
100,-31.598712956022784
100,-19.876646633652346
100,-17.456259898604326
100,-17.981571700690978
100,-29.021470361387927
100,-17.543565329518195
100,-25.218110925789166
100,-29.150488461928273
100,-19.139246409486844
100,-26.175961569384526
100,-16.061057723848787
100,-20.897626022316082
100,-19.95068489576982
100,-28.743302622802567
100,-20.020659314601573
100,-24.020322108817062
100,-17.78490856037755
